"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",68.6115,171,67.4625,178,97.625,343,100.857,319,106.495,122,107.59,133,-6.73339,246
"2026","Air Force",67.2726,236,66.1756,249,92.2078,363,96.5374,350,118.866,353,116.052,303,-19.5149,344
"2026","Akron",71.4841,36,70.6007,29,123.135,3,120.782,42,104.634,88,107.311,128,13.4703,61
"2026","Alabama",74.651,5,73.0393,4,122.447,8,129.675,3,111.105,247,103.59,67,26.0842,17
"2026","Alabama A&M",67.4313,227,65.505,288,106.131,227,104.94,259,109.527,207,117.177,317,-12.2367,301
"2026","Alabama St.",71.2573,47,69.4745,72,100.207,323,99.449,336,109.075,198,113.837,263,-14.3875,319
"2026","Albany",65.6388,314,65.2484,297,105.064,250,103.563,280,113.107,292,118.465,332,-14.9015,324
"2026","Alcorn St.",69.5171,122,67.4009,180,96.5742,348,97.0447,348,115.087,322,117.319,319,-20.2739,347
"2026","American",66.6771,265,66.7192,221,108.209,180,105.78,239,108.732,185,112.169,232,-6.38892,241
"2026","Appalachian St.",64.0742,354,63.0267,359,107.633,195,106.127,230,104.81,90,108.508,151,-2.38031,193
"2026","Arizona",71.826,31,70.1257,45,120.035,19,126.706,7,95.1039,3,89.3761,3,37.3303,3
"2026","Arizona St.",70.6536,75,69.1919,84,109.39,154,116.708,72,110.097,225,103.54,66,13.1675,63
"2026","Arkansas",72.6779,16,71.1905,21,122.83,6,127.932,6,108.829,189,101.992,44,25.9401,18
"2026","Arkansas Pine Bluff",71.419,41,69.0859,90,103.393,278,103.308,283,113.882,306,116.717,314,-13.409,316
"2026","Arkansas St.",72.559,18,71.9925,11,111.347,115,110.893,143,106.411,117,109.504,175,1.38895,148
"2026","Army",67.2649,237,67.1295,195,103.083,288,100.355,323,115.171,324,118.793,335,-18.4374,337
"2026","Auburn",69.31,131,67.1655,193,119.401,22,125.841,13,114.909,320,107.115,124,18.7262,39
"2026","Austin Peay",70.1198,87,69.4511,73,113.065,91,108.177,191,106.149,109,108.516,152,-0.339089,174
"2026","Ball St.",65.3444,323,63.7156,343,100.083,327,98.7235,339,108.313,175,110.064,189,-11.3402,291
"2026","Baylor",69.5717,118,67.7618,154,116.55,51,123.309,23,111.616,262,107.043,122,16.2663,48
"2026","Bellarmine",66.14,294,64.7144,320,118.459,36,116.781,71,124.752,365,126.433,365,-9.65168,279
"2026","Belmont",69.969,94,68.9684,101,118.78,32,120.986,41,105.399,100,108.686,154,12.2998,67
"2026","Bethune Cookman",71.0981,53,69.3223,80,104.006,272,103.862,277,107.635,153,110.067,190,-6.20531,238
"2026","Binghamton",65.1072,331,65.3312,295,100.464,320,97.8478,343,115.158,323,123.362,361,-25.5138,359
"2026","Boise St.",66.4487,278,65.519,284,113.74,80,117.847,59,106.733,129,103.485,65,14.3621,55
"2026","Boston College",66.331,285,65.965,263,99.9754,328,104.122,271,104.96,95,103,58,1.12171,154
"2026","Boston University",63.5173,361,63.2123,354,114.988,66,112.57,116,113.941,308,119.849,345,-7.27881,253
"2026","Bowling Green",70.2405,85,68.3686,123,109.146,162,107.376,213,102.31,51,105.854,103,1.52244,147
"2026","Bradley",67.8052,214,67.3518,182,110.009,141,111.989,126,105.635,103,107.992,140,3.99705,123
"2026","Brown",66.6899,264,66.507,229,98.7539,338,98.1851,342,106.294,113,109.001,163,-10.8154,287
"2026","Bryant",64.4513,345,64.2466,334,96.4977,350,96.8095,349,112.613,283,119.785,343,-22.976,355
"2026","Bucknell",66.9718,248,66.9252,207,99.4931,333,98.4409,341,112.509,281,115.115,291,-16.6738,331
"2026","Buffalo",67.4959,225,66.477,232,114.258,73,113.064,112,112.976,290,116.317,308,-3.25275,207
"2026","Butler",69.9531,96,68.7103,110,111.287,118,116.421,75,108.899,194,106.614,114,9.80692,82
"2026","BYU",70.4961,77,69.8004,58,119.173,28,126.025,11,107.369,146,103.614,68,22.4118,25
"2026","Cal Baptist",67.3849,229,65.7399,272,106.881,213,108.247,189,99.2343,24,102.802,54,5.44501,112
"2026","Cal Poly",76.1946,1,74.1252,1,106.819,215,109.949,160,112.41,280,113.803,262,-3.85412,211
"2026","Cal St. Bakersfield",72.6288,17,70.1807,42,99.2966,336,102.002,306,114.658,317,117.415,320,-15.4126,327
"2026","Cal St. Fullerton",75.2696,3,72.5973,6,107.563,197,110.635,150,109.904,218,110.345,194,0.290032,169
"2026","California",69.2752,132,68.0928,134,110.034,139,113.605,106,103.897,75,101.871,42,11.7342,71
"2026","Campbell",70.0184,90,69.7909,59,108.471,176,111.479,133,112.57,282,112.892,249,-1.41247,181
"2026","Canisius",64.3232,348,64.2486,333,96.2957,353,95.5132,355,110.308,232,114.782,284,-19.2692,343
"2026","Central Arkansas",68.9259,153,67.9978,139,113.381,86,110.427,154,108.054,168,109.208,167,1.21945,150
"2026","Central Connecticut",65.189,328,65.125,303,107.725,193,104.927,260,109.839,215,117.698,327,-12.7716,305
"2026","Central Michigan",68.3224,187,67.1477,194,104.938,252,106.101,232,113.889,307,115.196,292,-9.0958,270
